Match_addr,Postal,PostalExt,Country,X,Y,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,all3,dem index ,Minority Population,Minority Population*,Low Income Population,Low Income*,lowincomebincorrected,Linguistically Isolated Population,Population with Less Than High School Education,Less Than High School Education*,Population under Age 5,Population over Age 64,>64* 0-under/at 1-above,DisplayX,DisplayY,sample_id,group_id
"1028 Gilmer Ricks Rd, Conway, North Carolina, 27820",27820,9586,USA,-77.19580214,36.43111062,164,7.53,39.1,0.163,28,0.37,13,0.48,0.013,1.3,0.58,6.30E-05,0.24,4.00,0.00,0.21,0.00,0.27,0.00,0.00,0.00,0.14,1.00,0.07,0.27,1.00,-77.1953895,36.430803,ES102617-0005,566000325EH
"1847 US-158, Jackson, North Carolina, 27845",27845,9543,USA,-77.51005097,36.41662504,48,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,0.89,7.00,1.00,0.95,1.00,0.83,1.00,1.00,0.00,0.30,1.00,0.10,0.25,1.00,-77.51005097,36.41662504,ES190402-0017,566000325EH
"541 Old Gaston Rd, Gaston, North Carolina, 27832",27832,9042,USA,-77.77480081,36.50692387,77,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,0.46,7.00,1.00,0.50,1.00,0.42,1.00,1.00,0.00,0.30,1.00,0.01,0.28,1.00,-77.7745755,36.506817,ES102517-0003,566000325EH
"3118 Ashleys Grove Rd, Conway, North Carolina, 27820",27820,9338,USA,-77.16847479,36.4260055,166,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,0.0000092,0.36,5.00,0.00,0.39,1.00,0.33,0.00,0.00,0.00,0.26,1.00,0.09,0.17,1.00,-77.1682095,36.425934,ES092517-0002,566000325EH
"289 Hickory Hollow Rd, Gaston, North Carolina, 27832",27832,9189,USA,-77.73935131,36.49714626,206,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,0.46,7.00,1.00,0.50,1.00,0.42,1.00,1.00,0.00,0.30,1.00,0.01,0.28,1.00,-77.73935131,36.49714626,ES090517-0002,566000325EH
"802 Collier Rd, Woodland, North Carolina, 27897",27897,9569,USA,-77.2767158,36.35140027,44,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,0.45,7.00,1.00,0.51,1.00,0.39,1.00,1.00,0.00,0.15,1.00,0.05,0.21,1.00,-77.2767158,36.35140027,ES081617-0040,566000325EH
"600 Ashleys Grove Rd, Conway, North Carolina, 27820",27820,9557,USA,-77.2184655,36.375165,74,7.53,39.1,0.163,28,0.37,8.9,0.48,0.013,0.9,0.43,0.000043,0.28,4.00,0.00,0.28,0.00,0.29,0.00,0.00,0.00,0.18,1.00,0.08,0.23,1.00,-77.2184655,36.375165,ES080817-0006,566000325EH
"187 Turkey Branch Rd, Murfreesboro, North Carolina, 27855",27855,9376,USA,-77.13342551,36.46528905,54,7.48,39.1,0.158,28,0.37,1.9,0.37,0.014,0.17,0.15,0.0000075,0.48,7.00,1.00,0.51,1.00,0.45,1.00,1.00,0.01,0.27,1.00,0.06,0.17,1.00,-77.13342551,36.46528905,ES071217-0029,566000325EH
"198 Riverside Dr, Henrico, North Carolina, 27842",27842,9210,USA,-77.87645595,36.51913945,281,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,0.28,0.00,0.00,0.23,0.00,0.33,0.00,0.00,0.00,0.11,0.00,0.00,0.46,1.00,-77.87645595,36.51913945,ES062717-0063,566000325EH
"7368 NC-46, Garysburg, North Carolina, 27831",27831,9422,USA,-77.59891574,36.46001227,103,7.75,39.4,0.183,30,0.4,100,0.2,0.011,0.22,0.19,0.018,0.74,7.00,1.00,0.96,1.00,0.50,1.00,1.00,0.00,0.25,1.00,0.03,0.33,1.00,-77.59891574,36.46001227,ES060717-0002,566000325EH
"1214 Bryantown Rd, Rich Square, North Carolina, 27869",27869,NA,USA,-77.32393606,36.28091568,166,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,0.53,3.00,0.00,0.53,1.00,0.53,1.00,1.00,0.00,0.10,0.00,0.07,0.22,1.00,-77.32393606,36.28091568,ES051717-0030,566000325EH
"702 Bethel Church Rd, Pleasant Hill, North Carolina, 27866",27866,9651,USA,-77.48684033,36.48938817,166,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,0.53,3.00,0.00,0.53,1.00,0.53,1.00,1.00,0.00,0.10,0.00,0.07,0.22,1.00,-77.4865395,36.489186,ES060518-0029,566000325EH
"599 WJ Duke Service Rd, Jackson, North Carolina, 27845",27845,NA,USA,-77.36626881,36.35716161,28,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,0.45,7.00,1.00,0.51,1.00,0.39,1.00,1.00,0.00,0.15,1.00,0.05,0.21,1.00,-77.36626881,36.35716161,ES051017-0038,566000325EH
"557 N Shore Dr, Gaston, North Carolina, 27832",27832,9691,USA,-77.69665419,36.48978108,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,0.35,5.00,0.00,0.37,1.00,0.32,0.00,0.00,0.00,0.20,1.00,0.01,0.27,1.00,-77.69665419,36.48978108,ES050217-0022,566000325EH
"x=-77.526100, y=36.545800",NA,NA,,-77.5261,36.5458,37,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,0.45,5.00,0.00,0.56,1.00,0.34,0.00,0.00,0.00,0.13,1.00,0.00,0.19,1.00,0,0,ES190501-0011,566000325EH
"11438 NC-305, Seaboard, North Carolina, 27876",27876,9540,USA,-77.43482788,36.46739644,53,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,0.73,7.00,1.00,0.85,1.00,0.60,1.00,1.00,0.00,0.20,1.00,0.06,0.23,1.00,-77.43482788,36.46739644,ES040417-0028,566000325EH
"335 Deloatch Mill Rd, Conway, North Carolina, 27820",27820,9356,USA,-77.17981275,36.4465895,1,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,9.20E-06,0.36,5.00,0.00,0.39,1.00,0.33,0.00,0.00,0.00,0.26,1.00,0.09,0.17,1.00,-77.18013,36.446517,ES040417-0027,566000325EH
"12795 US-158, Conway, North Carolina, 27820",27820,9351,USA,-77.18355729,36.44158346,149,7.53,39.1,0.163,28,0.37,17,0.37,0.014,0.7,0.35,0.000035,0.48,7.00,1.00,0.50,1.00,0.46,1.00,1.00,0.04,0.23,1.00,0.09,0.17,1.00,-77.18355729,36.44158346,ES032217-0027,566000325EH
"157 Jane Ln, Pleasant Hill, North Carolina, 27866",27866,9685,USA,-77.51739226,36.512034,125,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,0.45,5.00,0.00,0.56,1.00,0.34,0.00,0.00,0.00,0.13,1.00,0.00,0.19,1.00,-77.51739226,36.512034,ES120716-0003,566000325EH
"335 Deloatch Mill Rd, Conway, North Carolina, 27820",27820,9356,USA,-77.17981275,36.4465895,1,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,9.20E-06,0.36,5.00,0.00,0.39,1.00,0.33,0.00,0.00,0.00,0.26,1.00,0.09,0.17,1.00,-77.18013,36.446517,ES033117-0014,566000325EH
"902 Gumberry Rd, Garysburg, North Carolina, 27831",27831,9539,USA,-77.49708112,36.44802177,82,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,0.89,7.00,1.00,0.95,1.00,0.83,1.00,1.00,0.00,0.30,1.00,0.10,0.25,1.00,-77.497434,36.448263,ES111716-0060,566000325EH
"567 Oak Grove Church Rd, Gaston, North Carolina, 27832",27832,9156,USA,-77.75407406,36.52509221,118,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,0.46,7.00,1.00,0.50,1.00,0.42,1.00,1.00,0.00,0.30,1.00,0.01,0.28,1.00,-77.75407406,36.52509221,ES030817-0070,566000325EH
"3471 Skippers Rd, Skippers, Virginia, 23879",23879,2067,USA,-77.55876592,36.63607825,44,7.9,39.2,0.213,32,0.44,230,0.17,0.012,0.056,0.18,2.80E-06,0.60,7.00,1.00,0.67,1.00,0.54,1.00,1.00,0.00,0.33,1.00,0.07,0.18,1.00,-77.559786,36.636021,ES110216-0005,566000325EH
"499 Severn Rd, Margarettsville, North Carolina, 27853",27853,9607,USA,-77.31967501,36.51940306,38,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,0.32,5.00,0.00,0.47,1.00,0.16,0.00,0.00,0.00,0.19,1.00,0.01,0.21,1.00,,,ES091916-0008,566000325EH
"3475 Galatia Rd, Margarettsville, North Carolina, 27853",27853,9641,USA,-77.2479419,36.51371026,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.248233,36.514701,ES081816-0066,566000325EH
"263 Riverside Dr, Henrico, North Carolina, 27842",27842,9209,USA,-77.87800887,36.5186344,281,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,0.28,0.00,0.00,0.23,0.00,0.33,0.00,0.00,0.00,0.11,0.00,0.00,0.46,1.00,-77.87800887,36.5186344,ES081216-0013,566000325EH
"1172 Jenkins Mill Rd, Conway, North Carolina, 27820",27820,9661,USA,-77.2683975,36.390087,74,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,0.48,3.00,0.00,0.48,1.00,0.48,1.00,1.00,0.00,0.04,0.00,0.14,0.08,0.00,-77.2683975,36.390087,ES070816-0011,566000325EH
"283 Camp Five Trl, Gaston, North Carolina, 27832",27832,9072,USA,-77.79037679,36.54499131,148,7.87,39.5,0.147,30,0.39,2.1,0.16,0.013,0.062,0.049,0.017,0.34,5.00,0.00,0.38,1.00,0.31,0.00,0.00,0.00,0.19,1.00,0.02,0.47,1.00,-77.79037679,36.54499131,ES062717-0062,566000325EH
"3314 Galatia Rd, Margarettsville, North Carolina, 27853",27853,9642,USA,-77.2518354,36.51040584,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.251392,36.509859,ES061616-0041,566000325EH
"801 Stanley Barnes Rd, Pendleton, North Carolina, 27862",27862,7101,USA,-77.10432177,36.50184319,51,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.1043905,36.502083,ES060716-0013,566000325EH
"3530 US-158, Jackson, North Carolina, 27845",27845,9541,USA,-77.45984001,36.38193864,8,7.75,39.4,0.183,30,0.4,38,0.44,0.011,0.054,0.05,0.012,0.72,7.00,1.00,0.69,1.00,0.74,1.00,1.00,0.06,0.24,1.00,0.03,0.12,0.00,-77.45984001,36.38193864,ES062916-0027,566000325EH
"135 Wrays Ct, Gaston, North Carolina, 27832",27832,9556,USA,-77.6857617,36.48853711,283,7.89,39.5,0.197,32,0.43,59,0.19,0.012,0.32,0.13,0.029,0.34,5.00,0.00,0.36,1.00,0.31,0.00,0.00,0.00,0.19,1.00,0.01,0.27,1.00,-77.685525,36.487827,ES060716-0043,566000325EH
"861 Stanley Barnes Rd, Pendleton, North Carolina, 27862",27862,7101,USA,-77.09843483,36.5033779,51,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.098464,36.503496,ES060716-0044,566000325EH
"745 Benthall Cook Rd, Rich Square, North Carolina, 27869",27869,9679,USA,-77.332545,36.224127,101,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,0.53,3.00,0.00,0.53,1.00,0.53,1.00,1.00,0.00,0.10,0.00,0.07,0.22,1.00,-77.332545,36.224127,ES041316-0005,566000325EH
"190 Jerry Chitty Ln, Pendleton, North Carolina, 27862",27862,7004,USA,-77.15534504,36.49752307,17,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.1554385,36.497439,ES031616-0048,566000325EH
"159 Wilkins Court Drive, Henrico, North Carolina, 27842",27842,NA,USA,-77.86692918,36.51789067,386,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,0.28,0.00,0.00,0.23,0.00,0.33,0.00,0.00,0.00,0.11,0.00,0.00,0.46,1.00,-77.866092,36.517329,ES030316-0032,566000325EH
"560 Sheep Pen Ln, Jackson, North Carolina, 27845",27845,8500,USA,-77.51386667,36.40574156,13,7.75,39.4,0.183,30,0.4,98,0.18,0.011,0.24,0.21,0.027,0.65,5.00,0.00,0.97,1.00,0.33,0.00,0.00,0.00,0.22,1.00,0.00,0.38,1.00,-77.513751,36.406422,ES031116-0011,566000325EH
"861 Stanley Barnes Rd, Pendleton, North Carolina, 27862",27862,7101,USA,-77.09843483,36.5033779,51,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.098464,36.503496,ES021016-0010,566000325EH
"166 Stanley Barnes Rd, Pendleton, North Carolina, 27862",27862,7094,USA,-77.11726966,36.48845406,57,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.1169545,36.488286,ES012016-0003,566000325EH
"3475 Galatia Rd, Margarettsville, North Carolina, 27853",27853,9641,USA,-77.2479419,36.51371026,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.248233,36.514701,ES072915-0005,566000325EH
"500 Blythe Rd, Garysburg, North Carolina, 27831",27831,9482,USA,-77.59596414,36.48578078,101,7.86,39.4,0.189,31,0.43,75,0.15,0.011,0.22,0.14,0.0019,0.70,7.00,1.00,0.77,1.00,0.62,1.00,1.00,0.00,0.33,1.00,0.05,0.23,1.00,-77.59596414,36.48578078,ES072315-0065,566000325EH
