GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US371319201001,371319201001,"Block Group 1, Census Tract 9201, Northampton County, North Carolina",617,153,294,92,20,23,11,15,6,9,0,12,0,12,0,12,0,12,9,11,23,29,24,27,1,3,33,37,19,22,10,11,34,38,25,22,27,30,2,3,15,22,4,7,10,10,21,21,0,12,323,90,2,5,0,12,17,18,3,7,0,12,0,12,7,11,0,12,17,22,10,12,5,10,12,13,31,39,49,54,29,27,15,21,22,29,1,2,5,7,24,25,58,50,4,6,12,16
1500000US371319201002,371319201002,"Block Group 2, Census Tract 9201, Northampton County, North Carolina",924,302,507,183,84,86,30,40,0,12,54,56,41,57,0,12,0,12,15,26,0,12,0,12,0,12,45,50,0,12,42,34,76,44,31,24,0,12,11,18,59,46,0,12,7,12,12,18,0,12,417,152,0,12,0,12,0,12,16,24,0,12,0,12,0,12,56,58,0,12,0,12,20,29,46,55,0,12,0,12,126,70,19,22,68,51,29,33,0,12,16,28,9,14,12,19,0,12
1500000US371319201003,371319201003,"Block Group 3, Census Tract 9201, Northampton County, North Carolina",1083,263,450,160,70,46,34,35,12,17,0,12,46,64,3,5,7,12,22,29,39,43,21,22,4,6,14,19,22,24,57,50,31,27,14,14,9,13,0,12,13,19,9,14,0,12,23,25,0,12,633,138,36,26,27,23,22,20,15,18,0,12,0,12,0,12,10,12,87,54,23,26,41,39,58,84,39,39,53,45,72,35,0,12,2,4,28,27,13,18,25,26,13,16,68,73,1,3
1500000US371319201004,371319201004,"Block Group 4, Census Tract 9201, Northampton County, North Carolina",416,154,182,82,5,9,0,12,0,12,16,25,0,12,0,12,0,12,0,12,26,38,0,12,12,19,20,34,0,12,0,12,31,40,27,28,0,12,10,14,12,18,12,19,11,19,0,12,0,12,234,101,0,12,28,41,0,12,0,12,0,12,21,34,0,12,0,12,11,18,0,12,20,31,0,12,18,29,0,12,79,62,13,19,0,12,13,20,0,12,0,12,10,16,11,17,10,15
1500000US371319201005,371319201005,"Block Group 5, Census Tract 9201, Northampton County, North Carolina",1012,294,586,180,145,100,52,76,46,56,24,31,0,12,0,12,0,12,0,12,15,25,69,50,8,15,49,38,13,20,31,32,47,49,11,16,39,54,13,22,0,12,13,20,0,12,11,17,0,12,426,166,0,12,0,12,79,80,15,22,14,23,0,12,0,12,16,26,36,48,43,61,11,19,49,47,21,34,31,34,72,66,0,12,0,12,0,12,17,28,12,19,10,16,0,12,0,12
1500000US371319201006,371319201006,"Block Group 6, Census Tract 9201, Northampton County, North Carolina",700,208,352,125,31,32,29,38,37,54,0,12,23,37,0,12,0,12,14,27,0,12,14,22,2,4,32,37,8,14,8,9,47,36,0,12,2,3,23,26,36,44,2,4,31,33,2,4,11,17,348,103,15,22,2,6,17,28,1,4,0,12,17,27,0,12,33,39,17,22,2,4,18,20,3,5,79,65,5,6,5,7,0,12,48,50,1,3,9,13,13,21,0,12,62,39,1,3
1500000US371319202001,371319202001,"Block Group 1, Census Tract 9202, Northampton County, North Carolina",688,303,309,177,16,25,0,12,78,87,13,15,0,12,0,12,53,71,5,9,0,12,3,5,8,11,5,9,18,30,25,25,53,63,0,12,0,12,9,10,4,6,19,23,0,12,0,12,0,12,379,166,34,40,12,19,18,25,8,9,11,16,0,12,7,12,70,83,38,51,0,12,11,12,9,14,17,18,6,9,9,9,0,12,8,9,8,8,8,8,13,9,18,23,63,82,11,12
1500000US371319202002,371319202002,"Block Group 2, Census Tract 9202, Northampton County, North Carolina",1118,334,577,222,22,29,7,13,66,91,0,12,10,16,0,12,0,12,20,28,6,9,44,51,76,103,24,32,47,47,56,42,48,56,0,12,54,60,3,6,6,8,7,7,50,53,18,23,13,7,541,152,33,38,11,16,5,9,35,36,6,14,0,12,0,12,4,6,6,9,102,92,3,5,20,28,73,57,66,58,0,12,2,3,35,36,5,6,3,5,48,38,44,36,35,33,5,7
1500000US371319202003,371319202003,"Block Group 3, Census Tract 9202, Northampton County, North Carolina",1597,306,674,140,7,8,31,25,58,49,20,23,47,43,17,23,17,28,10,12,121,80,21,19,5,7,33,30,60,45,24,24,49,57,7,11,45,37,34,23,16,16,14,15,30,27,8,7,0,12,923,215,60,43,92,54,69,48,28,28,90,94,0,12,0,12,71,49,81,37,10,17,35,27,32,31,58,48,97,92,61,45,11,14,24,19,15,15,17,16,12,9,46,29,9,14,5,7
