GEO.id,FIPS,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
1500000U,371319201001,3.71319E+11,"Block Group 1, Census Tract 9201, Northampton County, North Carolina",542,138,29,30,0,12,0,12,0,12,0,12,0,12,0,12,4,8,4,7,0,12,26,28,24,29,3,5,9,15,7,10,181,80,20,23,2,3,118,73,72,49,38,34,3,6,0,12,2,4
1500000U,371319201002,3.71319E+11,"Block Group 2, Census Tract 9201, Northampton County, North Carolina",628,187,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,27,0,12,0,12,0,12,32,34,94,76,14,21,123,87,105,82,51,60,88,45,30,28,55,46,11,18,0,12,0,12
1500000U,371319201003,3.71319E+11,"Block Group 3, Census Tract 9201, Northampton County, North Carolina",779,181,28,28,0,12,0,12,0,12,0,12,15,25,0,12,0,12,12,19,20,23,0,12,16,18,7,10,47,47,12,21,254,99,32,22,19,24,112,63,75,64,112,92,5,8,13,18,0,12
1500000U,371319201004,3.71319E+11,"Block Group 4, Census Tract 9201, Northampton County, North Carolina",346,122,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,11,19,11,17,0,12,19,35,119,64,18,27,20,34,64,59,40,47,0,12,20,31,0,12,0,12
1500000U,371319201005,3.71319E+11,"Block Group 5, Census Tract 9201, Northampton County, North Carolina",621,164,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,22,0,12,0,12,9,15,376,166,17,26,14,21,39,51,140,109,13,20,0,12,0,12,0,12
1500000U,371319201006,3.71319E+11,"Block Group 6, Census Tract 9201, Northampton County, North Carolina",481,133,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,36,10,14,0,12,0,12,12,18,2,4,130,53,5,6,25,37,117,70,43,46,80,66,16,15,0,12,0,12
1500000U,371319202001,3.71319E+11,"Block Group 1, Census Tract 9202, Northampton County, North Carolina",363,147,7,10,0,12,0,12,0,12,0,12,0,12,3,6,0,12,0,12,0,12,4,7,0,12,23,31,0,12,0,12,130,75,81,85,0,12,7,8,52,52,28,19,21,17,0,12,7,10
1500000U,371319202002,3.71319E+11,"Block Group 2, Census Tract 9202, Northampton County, North Carolina",899,246,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,19,24,0,12,73,76,35,41,8,11,0,12,300,193,89,70,68,56,134,90,79,67,61,55,22,26,2,3,7,9
1500000U,371319202003,3.71319E+11,"Block Group 3, Census Tract 9202, Northampton County, North Carolina",980,200,3,4,0,12,0,12,0,12,0,12,0,12,0,12,5,9,0,12,5,6,51,47,27,20,50,40,87,65,2,3,384,158,39,34,58,35,95,49,52,36,44,31,67,38,11,14,0,12
1500000U,371319202004,3.71319E+11,"Block Group 4, Census Tract 9202, Northampton County, North Carolina",380,112,24,25,0,12,0,12,0,12,0,12,0,12,0,12,9,10,15,21,0,12,0,12,17,25,12,16,4,7,0,12,189,79,26,29,13,21,21,21,28,34,17,21,5,7,0,12,0,12
1500000U,371319202005,3.71319E+11,"Block Group 5, Census Tract 9202, Northampton County, North Carolina",420,144,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,22,32,0,12,25,28,0,12,185,102,27,28,24,33,59,48,59,64,15,19,0,12,0,12,0,12
1500000U,371319203001,3.71319E+11,"Block Group 1, Census Tract 9203, Northampton County, North Carolina",1026,189,0,12,0,12,0,12,8,12,25,40,3,4,3,5,0,12,14,21,139,96,11,19,37,40,7,11,48,44,13,22,378,148,16,19,74,66,118,74,89,54,24,26,19,17,0,12,0,12
1500000U,371319203002,3.71319E+11,"Block Group 2, Census Tract 9203, Northampton County, North Carolina",600,213,0,12,0,12,0,12,0,12,0,12,14,24,0,12,9,14,0,12,0,12,14,22,46,48,0,12,34,30,17,27,132,63,21,32,25,27,84,76,80,83,43,46,81,110,0,12,0,12
1500000U,371319203003,3.71319E+11,"Block Group 3, Census Tract 9203, Northampton County, North Carolina",828,154,10,9,0,12,0,12,0,12,0,12,11,15,0,12,57,79,0,12,4,8,0,12,34,38,15,14,36,30,1,4,182,79,30,18,50,44,136,70,92,58,111,71,11,17,40,38,8,13
1500000U,371319203004,3.71319E+11,"Block Group 4, Census Tract 9203, Northampton County, North Carolina",468,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,16,20,25,35,44,46,50,15,16,0,12,86,47,12,11,40,28,35,23,109,69,48,31,4,5,11,18,0,12
1500000U,371319203005,3.71319E+11,"Block Group 5, Census Tract 9203, Northampton County, North Carolina",941,228,0,12,0,12,0,12,0,12,0,12,0,12,4,7,8,12,0,12,0,12,10,14,7,9,87,42,83,71,28,24,263,76,54,38,60,50,227,120,17,19,81,55,0,12,12,15,0,12
1500000U,371319203006,3.71319E+11,"Block Group 6, Census Tract 9203, Northampton County, North Carolina",532,192,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,32,0,12,33,37,120,107,168,142,0,12,106,65,36,38,11,17,23,35,0,12,0,12
1500000U,371319204011,3.71319E+11,"Block Group 1, Census Tract 9204.01, Northampton County, North Carolina",1060,204,24,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,16,16,33,42,71,57,78,66,66,48,63,46,364,114,31,41,37,36,59,52,98,64,60,41,52,34,0,12,0,12
1500000U,371319204012,3.71319E+11,"Block Group 2, Census Tract 9204.01, Northampton County, North Carolina",927,230,20,16,0,12,0,12,0,12,0,12,4,9,5,10,0,12,19,19,4,9,63,53,0,12,100,68,72,55,38,44,311,121,18,19,39,38,55,31,30,23,100,120,49,53,0,12,0,12
1500000U,371319204013,3.71319E+11,"Block Group 3, Census Tract 9204.01, Northampton County, North Carolina",1020,184,12,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,24,35,31,45,52,32,40,52,41,59,52,38,47,227,86,92,51,35,22,161,80,70,56,67,34,48,49,18,20,0,12
1500000U,371319204021,3.71319E+11,"Block Group 1, Census Tract 9204.02, Northampton County, North Carolina",436,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,7,0,12,21,28,0,12,25,27,25,18,9,14,38,28,11,11,51,27,73,37,54,34,61,29,41,23,16,15,5,8
1500000U,371319204022,3.71319E+11,"Block Group 2, Census Tract 9204.02, Northampton County, North Carolina",789,106,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,25,12,9,21,19,28,23,3,5,179,50,30,25,87,48,118,41,81,31,110,33,87,35,0,12,14,19
