GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0100000US,,United States,118825921,229026,7942251,17662,5768114,16409,5727180,16801,5910725,17864,5619002,16113,5711286,15891,5332778,16488,5354520,15415,4725195,16890,9181800,20965,11818514,30723,14636046,49159,10273788,47842,6428069,37952,6931136,37236,7465517,42206
1500000US371319201001,371319201001,"Block Group 1, Census Tract 9201, Northampton County, North Carolina",306,77,30,36,29,24,25,24,28,29,44,46,31,27,22,25,8,11,38,41,0,12,41,26,0,12,9,8,1,3,0,12,0,12
1500000US371319201002,371319201002,"Block Group 2, Census Tract 9201, Northampton County, North Carolina",354,92,47,49,16,24,14,21,0,12,0,12,53,53,41,36,0,12,13,20,11,18,114,80,6,18,14,21,11,18,0,12,14,22
1500000US371319201003,371319201003,"Block Group 3, Census Tract 9201, Northampton County, North Carolina",526,116,112,54,46,33,11,14,74,78,64,54,18,23,1,3,84,82,6,10,12,18,28,22,28,25,32,29,0,12,10,17,0,12
1500000US371319201004,371319201004,"Block Group 4, Census Tract 9201, Northampton County, North Carolina",215,76,36,40,0,12,10,15,0,12,10,16,11,19,0,12,0,12,26,38,16,23,49,40,30,38,27,29,0,12,0,12,0,12
1500000US371319201005,371319201005,"Block Group 5, Census Tract 9201, Northampton County, North Carolina",359,94,14,21,0,12,43,61,9,17,20,24,49,52,24,27,112,82,0,12,0,12,33,29,27,29,28,37,0,12,0,12,0,12
1500000US371319201006,371319201006,"Block Group 6, Census Tract 9201, Northampton County, North Carolina",330,96,0,12,3,5,37,41,37,45,29,33,19,29,1,3,24,25,54,61,27,28,31,32,39,46,29,29,0,12,0,12,0,12
1500000US371319202001,371319202001,"Block Group 1, Census Tract 9202, Northampton County, North Carolina",305,119,0,12,120,101,10,16,23,24,4,6,21,15,0,12,18,23,0,12,29,27,51,64,19,14,0,12,3,6,7,10,0,12
1500000US371319202002,371319202002,"Block Group 2, Census Tract 9202, Northampton County, North Carolina",524,148,39,56,43,56,70,63,19,22,2,4,92,106,36,36,0,12,21,23,2,3,97,68,27,30,53,52,23,26,0,12,0,12
