GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US371319201001,371319201001,"Block Group 1, Census Tract 9201, Northampton County, North Carolina",617,153,384,123,227,123,0,12,0,12,0,12,0,12,6,10,0,12,6,10
1500000US371319201002,371319201002,"Block Group 2, Census Tract 9201, Northampton County, North Carolina",924,302,681,280,243,132,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319201003,371319201003,"Block Group 3, Census Tract 9201, Northampton County, North Carolina",1083,263,442,146,615,206,0,12,0,12,0,12,16,41,10,17,0,12,10,17
1500000US371319201004,371319201004,"Block Group 4, Census Tract 9201, Northampton County, North Carolina",416,154,219,117,197,139,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319201005,371319201005,"Block Group 5, Census Tract 9201, Northampton County, North Carolina",1012,294,527,185,378,268,0,12,0,12,0,12,0,12,107,148,0,12,107,148
1500000US371319201006,371319201006,"Block Group 6, Census Tract 9201, Northampton County, North Carolina",700,208,551,169,140,116,0,12,3,5,0,12,0,12,6,9,0,12,6,9
1500000US371319202001,371319202001,"Block Group 1, Census Tract 9202, Northampton County, North Carolina",688,303,323,240,365,220,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319202002,371319202002,"Block Group 2, Census Tract 9202, Northampton County, North Carolina",1118,334,577,223,516,285,0,12,20,28,0,12,0,12,5,8,0,12,5,8
1500000US371319202003,371319202003,"Block Group 3, Census Tract 9202, Northampton County, North Carolina",1597,306,451,164,970,307,54,42,0,12,0,12,55,84,67,66,0,12,67,66
1500000US371319202004,371319202004,"Block Group 4, Census Tract 9202, Northampton County, North Carolina",436,126,87,55,321,110,0,12,0,12,0,12,28,32,0,12,0,12,0,12
1500000US371319202005,371319202005,"Block Group 5, Census Tract 9202, Northampton County, North Carolina",475,165,208,94,253,134,0,12,0,12,0,12,0,12,14,22,0,12,14,22
1500000US371319203001,371319203001,"Block Group 1, Census Tract 9203, Northampton County, North Carolina",1387,303,68,79,1319,294,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319203002,371319203002,"Block Group 2, Census Tract 9203, Northampton County, North Carolina",731,254,22,28,682,250,0,12,0,12,0,12,0,12,27,42,0,12,27,42
1500000US371319203003,371319203003,"Block Group 3, Census Tract 9203, Northampton County, North Carolina",1072,230,162,89,885,222,0,12,20,28,0,12,0,12,5,9,2,4,3,8
1500000US371319203004,371319203004,"Block Group 4, Census Tract 9203, Northampton County, North Carolina",536,157,318,99,218,118,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319203005,371319203005,"Block Group 5, Census Tract 9203, Northampton County, North Carolina",1300,329,403,208,838,290,15,23,0,12,0,12,13,18,31,35,0,12,31,35
1500000US371319203006,371319203006,"Block Group 6, Census Tract 9203, Northampton County, North Carolina",706,303,313,182,393,243,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319204011,371319204011,"Block Group 1, Census Tract 9204.01, Northampton County, North Carolina",1441,347,475,155,934,318,32,38,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319204012,371319204012,"Block Group 2, Census Tract 9204.01, Northampton County, North Carolina",1437,376,212,134,1200,355,25,44,0,12,0,12,0,12,0,12,0,12,0,12
1500000US371319204013,371319204013,"Block Group 3, Census Tract 9204.01, Northampton County, North Carolina",1312,270,665,166,589,194,7,16,0,12,0,12,10,16,41,54,0,12,41,54
1500000US371319204021,371319204021,"Block Group 1, Census Tract 9204.02, Northampton County, North Carolina",560,148,344,109,170,56,8,12,21,24,0,12,0,12,17,20,0,12,17,20
1500000US371319204022,371319204022,"Block Group 2, Census Tract 9204.02, Northampton County, North Carolina",878,135,677,99,201,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12
