GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US370839301001,370839301001,"Block Group 1, Census Tract 9301, Halifax County, North Carolina",685,168,299,98,25,35,0,12,52,37,5,7,0,12,10,16,0,12,0,12,17,24,0,12,23,26,11,16,7,11,14,11,39,22,7,7,24,18,2,3,5,6,17,16,3,4,19,17,19,29,386,108,18,28,9,15,8,13,2,3,5,9,22,24,0,12,0,12,26,24,25,21,1,3,7,10,28,27,24,16,45,37,0,12,3,4,33,33,27,19,13,14,24,16,23,27,43,33
1500000US370839301002,370839301002,"Block Group 2, Census Tract 9301, Halifax County, North Carolina",1004,246,463,133,54,51,38,32,60,41,16,19,23,20,0,12,12,13,17,18,6,9,16,26,40,33,20,23,22,21,0,12,52,43,5,6,24,29,16,16,0,12,19,13,9,15,10,10,4,6,541,175,36,32,61,50,36,37,40,39,0,12,0,12,11,20,41,37,32,38,71,49,12,12,27,21,14,14,44,26,15,17,17,19,12,16,27,26,2,3,18,16,15,15,4,6,6,10
1500000US370839301003,370839301003,"Block Group 3, Census Tract 9301, Halifax County, North Carolina",419,226,137,103,14,18,4,10,30,43,0,12,0,12,0,12,0,12,0,12,44,59,0,12,0,12,6,11,0,12,0,12,7,11,0,12,14,19,0,12,0,12,9,13,0,12,0,12,9,14,282,147,16,24,79,75,13,20,5,9,4,8,0,12,0,12,0,12,0,12,15,23,31,38,0,12,25,23,0,12,25,38,7,10,13,17,0,12,0,12,5,12,34,41,0,12,10,14
1500000US370839301004,370839301004,"Block Group 4, Census Tract 9301, Halifax County, North Carolina",1057,229,430,112,26,24,29,33,14,17,4,8,3,9,0,12,0,12,16,17,23,25,15,23,8,12,35,45,68,61,55,42,31,23,23,22,10,15,7,7,42,41,10,11,11,12,0,12,0,12,627,150,26,27,3,4,9,16,2,4,12,17,0,12,34,41,22,22,40,41,25,22,6,11,87,62,41,40,34,33,31,22,6,6,51,48,36,42,25,22,83,42,3,4,8,9,43,41
1500000US370839302001,370839302001,"Block Group 1, Census Tract 9302, Halifax County, North Carolina",1028,337,435,203,39,58,35,40,35,40,26,34,29,32,0,12,16,27,10,18,30,44,18,28,0,12,28,33,0,12,38,33,54,66,0,12,15,25,27,29,0,12,0,12,35,37,0,12,0,12,593,236,0,12,59,72,99,73,21,30,19,29,0,12,0,12,18,22,29,47,46,50,88,90,24,39,53,44,36,37,35,31,14,23,23,28,0,12,0,12,29,32,0,12,0,12,0,12
1500000US370839302002,370839302002,"Block Group 2, Census Tract 9302, Halifax County, North Carolina",589,361,244,157,0,12,51,54,25,40,16,26,0,12,0,12,0,12,11,20,14,25,0,12,54,65,40,38,0,12,0,12,0,12,0,12,0,12,0,12,15,23,18,28,0,12,0,12,0,12,345,222,80,94,71,54,26,38,0,12,0,12,0,12,0,12,10,17,39,52,23,38,21,35,17,29,0,12,0,12,0,12,0,12,0,12,14,23,0,12,44,66,0,12,0,12,0,12
1500000US370839302003,370839302003,"Block Group 3, Census Tract 9302, Halifax County, North Carolina",690,270,243,95,0,12,24,36,0,12,39,44,0,12,0,12,0,12,0,12,0,12,0,12,21,33,0,12,17,28,23,26,10,19,25,26,16,25,0,12,14,23,0,12,36,40,18,29,0,12,447,242,28,44,68,88,26,30,16,25,52,72,0,12,0,12,0,12,0,12,39,56,0,12,86,81,0,12,13,21,22,28,36,33,0,12,17,28,15,25,0,12,29,26,0,12,0,12
1500000US370839302004,370839302004,"Block Group 4, Census Tract 9302, Halifax County, North Carolina",1811,437,867,249,18,26,21,35,266,160,37,44,0,12,0,12,0,12,13,22,35,34,0,12,55,88,18,29,15,23,87,78,12,19,53,66,50,46,89,55,26,36,38,61,20,33,14,21,0,12,944,271,22,44,107,98,0,12,107,101,0,12,0,12,12,19,0,12,14,26,18,27,81,79,67,57,73,46,78,66,37,38,30,28,22,25,82,77,72,61,54,67,61,49,0,12,7,16
1500000US370839302005,370839302005,"Block Group 5, Census Tract 9302, Halifax County, North Carolina",829,249,351,138,0,12,0,12,19,33,36,41,0,12,0,12,0,12,0,12,0,12,68,94,54,62,0,12,22,34,10,16,0,12,29,31,26,30,22,26,0,12,13,22,34,37,18,29,0,12,478,149,0,12,14,25,14,22,40,54,16,28,0,12,14,23,0,12,0,12,0,12,52,61,17,30,42,42,39,51,46,34,0,12,19,22,30,34,13,19,28,32,36,38,28,38,30,36
1500000US370839303001,370839303001,"Block Group 1, Census Tract 9303, Halifax County, North Carolina",1173,345,574,198,52,44,53,70,66,55,10,18,25,29,19,30,0,12,27,43,50,64,65,52,29,34,4,8,9,15,22,26,23,27,0,12,8,15,17,22,22,33,40,49,22,34,11,16,0,12,599,199,75,76,34,39,36,41,23,39,0,12,23,34,0,12,0,12,61,40,38,37,20,34,36,41,0,12,55,44,56,40,0,12,31,46,12,11,0,12,7,13,17,19,20,22,55,66
1500000US370839303002,370839303002,"Block Group 2, Census Tract 9303, Halifax County, North Carolina",1173,447,473,220,4,30,10,17,121,116,29,37,149,128,0,12,1,2,0,12,12,26,29,36,0,12,18,21,0,12,45,43,26,26,0,12,0,12,0,12,8,12,0,12,8,13,0,12,13,22,700,266,24,28,134,109,87,91,10,16,71,83,0,12,28,45,24,28,45,54,35,40,78,66,10,17,22,27,58,43,12,18,0,12,1,3,9,13,0,12,22,18,2,3,1,3,27,25
1500000US370839303003,370839303003,"Block Group 3, Census Tract 9303, Halifax County, North Carolina",619,206,279,105,0,12,19,24,14,22,0,12,0,12,0,12,0,12,0,12,28,28,0,12,23,25,42,42,4,8,10,16,66,51,17,20,28,23,15,17,0,12,6,12,0,12,0,12,7,12,340,114,0,12,11,16,21,22,24,37,18,29,0,12,27,42,0,12,22,36,27,30,12,19,10,17,18,21,50,50,30,26,0,12,38,29,0,12,24,22,0,12,0,12,8,12,0,12
