GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
0100000US,,United States,216271644,15647,3121238,28966,39751,1596,46579,1587,133764,3466,292749,6004,620670,9992,476892,8753,681373,9407,2622794,31889,950430,12017,2773314,26024,3394121,33207,3936071,31698,4467173,38533,3880195,31342,50496716,226019,8596896,26536,13442760,103690,31493074,112153,17917481,47238,41377068,151706,18154808,114880,4393328,30861,2962399,23063
1500000US370839301001,3.70839E+11,"Block Group 1, Census Tract 9301, Halifax County, North Carolina",529,97,22,17,0,12,0,12,0,12,0,12,0,12,3,5,0,12,10,16,0,12,0,12,0,12,20,21,53,36,0,12,150,60,42,32,21,14,96,49,21,16,56,25,21,18,9,8,5,9
1500000US370839301002,3.70839E+11,"Block Group 2, Census Tract 9301, Halifax County, North Carolina",559,128,6,10,0,12,0,12,0,12,0,12,0,12,17,20,0,12,0,12,0,12,7,12,16,18,22,17,2,5,6,9,127,64,32,32,68,44,181,80,17,15,29,23,29,22,0,12,0,12
1500000US370839301003,3.70839E+11,"Block Group 3, Census Tract 9301, Halifax County, North Carolina",254,103,0,12,0,12,15,19,0,12,0,12,0,12,0,12,0,12,10,14,18,19,25,38,34,41,0,12,0,12,0,12,128,104,14,19,0,12,0,12,0,12,10,15,0,12,0,12,0,12
1500000US370839301004,3.70839E+11,"Block Group 4, Census Tract 9301, Halifax County, North Carolina",857,171,8,9,0,12,0,12,0,12,0,12,3,4,0,12,0,12,20,19,2,4,5,6,13,16,27,31,71,53,96,111,201,82,55,43,38,52,181,77,67,50,49,38,14,13,0,12,7,10
1500000US370839302001,3.70839E+11,"Block Group 1, Census Tract 9302, Halifax County, North Carolina",622,191,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,24,0,12,0,12,39,61,0,12,0,12,0,12,116,65,75,70,118,92,118,106,61,57,51,48,15,25,14,21,0,12
1500000US370839302002,3.70839E+11,"Block Group 2, Census Tract 9302, Halifax County, North Carolina",299,156,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,28,0,12,0,12,0,12,0,12,70,66,0,12,0,12,70,72,81,67,22,35,0,12,21,35,17,29
1500000US370839302003,3.70839E+11,"Block Group 3, Census Tract 9302, Halifax County, North Carolina",437,120,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,25,0,12,15,25,182,80,13,21,15,25,14,23,30,33,110,100,0,12,32,37,12,19
1500000US370839302004,3.70839E+11,"Block Group 4, Census Tract 9302, Halifax County, North Carolina",1208,223,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,82,72,0,12,70,65,0,12,0,12,0,12,157,73,61,45,74,65,54,42,126,86,433,170,136,95,15,23,0,12
