GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0100000US,,United States,118825921,229026,7942251,17662,5768114,16409,5727180,16801,5910725,17864,5619002,16113,5711286,15891,5332778,16488,5354520,15415,4725195,16890,9181800,20965,11818514,30723,14636046,49159,10273788,47842,6428069,37952,6931136,37236,7465517,42206
1500000US370839301001,370839301001,"Block Group 1, Census Tract 9301, Halifax County, North Carolina",282,55,73,34,12,14,24,19,4,6,10,12,35,26,6,7,5,6,3,5,21,20,10,11,33,20,12,11,13,13,12,13,9,9
1500000US370839301002,370839301002,"Block Group 2, Census Tract 9301, Halifax County, North Carolina",384,83,106,54,49,40,13,17,23,29,17,16,20,17,17,19,17,16,8,8,34,27,46,37,3,5,22,20,9,11,0,12,0,12
1500000US370839301003,370839301003,"Block Group 3, Census Tract 9301, Halifax County, North Carolina",194,73,66,60,29,28,0,12,0,12,3,6,67,65,20,21,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370839301004,370839301004,"Block Group 4, Census Tract 9301, Halifax County, North Carolina",476,82,53,36,74,48,27,23,54,47,11,13,6,8,48,38,21,20,0,12,19,18,19,18,75,63,4,6,32,38,33,34,0,12
1500000US370839302001,370839302001,"Block Group 1, Census Tract 9302, Halifax County, North Carolina",391,118,21,25,0,12,17,27,82,95,39,61,0,12,0,12,17,29,14,23,42,34,67,54,42,43,41,39,0,12,9,17,0,12
1500000US370839302002,370839302002,"Block Group 2, Census Tract 9302, Halifax County, North Carolina",218,92,18,28,0,12,0,12,17,29,10,17,0,12,58,71,12,21,0,12,0,12,27,31,55,57,21,35,0,12,0,12,0,12
1500000US370839302003,370839302003,"Block Group 3, Census Tract 9302, Halifax County, North Carolina",310,92,0,12,15,25,18,29,54,84,19,30,14,25,33,39,0,12,0,12,26,30,44,40,53,50,17,28,0,12,9,18,8,14
1500000US370839302004,370839302004,"Block Group 4, Census Tract 9302, Halifax County, North Carolina",676,117,26,30,24,29,0,12,10,17,44,43,134,94,40,34,14,24,29,36,111,90,17,25,51,47,55,41,52,49,69,77,0,12
