GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US370839301001,370839301001,"Block Group 1, Census Tract 9301, Halifax County, North Carolina",685,168,270,75,407,162,3,4,0,12,0,12,0,12,5,7,0,12,5,7
1500000US370839301002,370839301002,"Block Group 2, Census Tract 9301, Halifax County, North Carolina",1004,246,239,112,740,231,0,12,0,12,0,12,7,12,18,19,0,12,18,19
1500000US370839301003,370839301003,"Block Group 3, Census Tract 9301, Halifax County, North Carolina",419,226,60,38,359,226,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370839301004,370839301004,"Block Group 4, Census Tract 9301, Halifax County, North Carolina",1057,229,312,148,745,243,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370839302001,370839302001,"Block Group 1, Census Tract 9302, Halifax County, North Carolina",1028,337,880,317,134,116,14,18,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370839302002,370839302002,"Block Group 2, Census Tract 9302, Halifax County, North Carolina",589,361,574,357,15,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370839302003,370839302003,"Block Group 3, Census Tract 9302, Halifax County, North Carolina",690,270,510,219,159,237,0,12,21,33,0,12,0,12,0,12,0,12,0,12
1500000US370839302004,370839302004,"Block Group 4, Census Tract 9302, Halifax County, North Carolina",1811,437,1057,380,637,282,0,12,13,22,0,12,55,88,49,84,49,84,0,12
1500000US370839302005,370839302005,"Block Group 5, Census Tract 9302, Halifax County, North Carolina",829,249,618,209,211,129,0,12,0,12,0,12,0,12,0,12,0,12,0,12
