GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0100000US,,United States,321004407,*****,158018753,5582,10151822,3520,10431216,17420,10585293,17356,6442108,3426,4417530,4259,2398153,12475,2353533,11529,6799319,16557,11378442,5106,10877571,3842,10170543,17078,10073171,17797,10374280,3958,10865843,3483,10433027,13117,3909845,11185,5301749,12280,3286984,9157,4235432,10546,5335292,10830,3654544,8404,2433521,7860,2109535,8840,162985654,5587,9701693,3669,10013906,15302,10127818,15348,6147423,3592,4211989,5076,2258672,11955,2224827,10995,6467461,17441,11028476,3696,10759684,3320,10218866,18087,10193839,18236,10587316,3271,11263704,3231,11090433,16722,4207280,11907,5805186,12573,3644183,11670,4760304,11370,6241194,12928,4561022,11384,3438390,10733,4031988,11243
1500000US370919501001,370919501001,"Block Group 1, Census Tract 9501, Hertford County, North Carolina",1344,319,682,184,2,4,61,48,99,86,63,64,71,51,0,12,0,12,56,55,21,27,0,12,14,22,36,41,42,46,28,27,40,45,47,65,28,38,23,35,21,30,27,36,0,12,1,3,2,4,662,171,14,24,2,3,42,45,49,41,45,59,0,12,0,12,5,9,14,22,25,32,65,86,0,12,6,6,76,50,88,71,20,33,76,60,29,49,25,33,4,4,25,38,2,4,50,37
1500000US370919501002,370919501002,"Block Group 2, Census Tract 9501, Hertford County, North Carolina",574,272,265,154,8,14,0,12,0,12,34,53,0,12,0,12,0,12,0,12,6,10,57,68,62,70,12,14,23,36,14,21,15,22,4,7,0,12,0,12,0,12,5,9,25,26,0,12,0,12,309,147,0,12,0,12,0,12,6,10,0,12,0,12,13,20,0,12,0,12,12,14,0,12,16,18,49,73,0,12,49,75,106,101,4,7,0,12,6,10,8,13,30,33,10,11,0,12
1500000US370919501003,370919501003,"Block Group 3, Census Tract 9501, Hertford County, North Carolina",2185,205,1088,170,7,11,55,38,106,76,44,35,237,134,57,50,37,29,44,28,41,40,26,25,22,23,12,19,55,35,79,48,44,30,7,12,48,34,9,14,40,34,28,23,28,19,19,18,43,30,1097,216,56,67,10,16,23,20,9,15,366,148,12,20,5,12,58,54,56,51,29,38,16,20,39,31,85,76,52,28,88,45,17,16,10,12,16,17,43,26,38,25,11,12,43,26,15,14
1500000US370919501004,370919501004,"Block Group 4, Census Tract 9501, Hertford County, North Carolina",618,162,330,113,53,49,32,36,0,12,0,12,17,33,0,12,9,16,25,25,40,42,32,37,9,13,11,14,27,24,6,9,17,19,5,9,25,26,0,12,7,12,8,12,0,12,7,11,0,12,288,79,7,10,6,9,5,9,0,12,6,10,14,23,0,12,18,19,42,41,17,21,8,13,24,24,23,28,17,16,14,16,6,9,7,10,8,12,17,19,16,17,26,29,0,12,7,12
1500000US370919501005,370919501005,"Block Group 5, Census Tract 9501, Hertford County, North Carolina",967,399,352,203,0,12,29,45,88,127,88,72,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,21,0,12,12,17,0,12,26,33,80,64,10,22,0,12,0,12,0,12,0,12,0,12,615,244,21,31,0,12,55,81,139,78,0,12,0,12,0,12,0,12,19,28,69,69,94,94,0,12,14,20,51,55,16,24,25,36,0,12,19,16,0,12,19,29,0,12,36,48,38,38
1500000US370919501006,370919501006,"Block Group 6, Census Tract 9501, Hertford County, North Carolina",1034,268,582,183,63,90,0,12,19,33,0,12,37,60,0,12,20,42,114,75,0,12,40,47,0,12,14,19,20,31,70,60,59,58,0,12,44,48,25,37,10,15,17,26,0,12,30,46,0,12,452,130,47,50,0,12,0,12,0,12,0,12,0,12,19,25,9,14,0,12,32,49,0,12,15,29,22,29,53,45,35,39,22,34,60,67,6,10,94,92,9,12,3,6,0,12,26,36
1500000US370919502001,370919502001,"Block Group 1, Census Tract 9502, Hertford County, North Carolina",1150,292,535,133,22,24,35,41,20,17,12,11,0,12,14,20,0,12,3,5,20,23,0,12,16,24,20,23,11,11,118,71,31,44,5,7,14,16,39,23,98,61,40,30,1,3,0,12,16,18,615,183,9,12,52,53,58,53,5,6,0,12,0,12,0,12,0,12,1,3,20,22,38,53,12,15,64,54,58,56,40,28,4,6,48,54,72,41,63,42,14,14,13,16,12,14,32,47
1500000US370919502002,370919502002,"Block Group 2, Census Tract 9502, Hertford County, North Carolina",1308,264,586,156,12,11,6,6,90,60,20,19,20,22,1,2,0,12,8,11,12,14,19,25,4,6,50,61,33,23,7,7,93,44,56,43,45,33,13,12,18,10,22,13,17,18,1,2,39,53,722,140,36,20,13,11,81,46,39,34,1,6,6,7,9,13,9,10,13,12,6,8,79,45,22,14,36,28,84,37,41,17,33,26,33,28,11,8,31,40,34,29,52,32,40,49,13,16
