GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0100000US,,United States,118825921,229026,7942251,17662,5768114,16409,5727180,16801,5910725,17864,5619002,16113,5711286,15891,5332778,16488,5354520,15415,4725195,16890,9181800,20965,11818514,30723,14636046,49159,10273788,47842,6428069,37952,6931136,37236,7465517,42206
1500000US370919501001,370919501001,"Block Group 1, Census Tract 9501, Hertford County, North Carolina",530,128,143,93,46,47,0,12,20,29,29,30,41,42,6,8,84,92,12,19,26,35,2,3,60,52,4,4,20,30,16,27,21,34
1500000US370919501002,370919501002,"Block Group 2, Census Tract 9501, Hertford County, North Carolina",290,131,113,104,6,9,10,11,14,21,54,69,4,7,0,12,37,37,6,10,6,10,15,22,11,14,6,9,0,12,0,12,8,12
1500000US370919501003,370919501003,"Block Group 3, Census Tract 9501, Hertford County, North Carolina",723,133,111,55,113,88,16,27,36,31,24,22,49,39,27,21,45,30,24,18,59,32,45,29,93,42,38,24,16,16,7,13,20,25
1500000US370919501004,370919501004,"Block Group 4, Census Tract 9501, Hertford County, North Carolina",301,79,43,31,44,36,4,9,13,14,9,16,5,9,14,27,11,13,13,15,36,31,47,37,42,44,14,18,6,9,0,12,0,12
1500000US370919501005,370919501005,"Block Group 5, Census Tract 9501, Hertford County, North Carolina",382,141,96,69,32,33,23,34,71,93,69,72,0,12,0,12,0,12,0,12,0,12,0,12,58,44,14,20,19,29,0,12,0,12
1500000US370919501006,370919501006,"Block Group 6, Census Tract 9501, Hertford County, North Carolina",433,106,111,93,40,49,45,50,0,12,7,10,9,14,76,65,0,12,25,37,31,34,38,41,0,12,36,41,15,29,0,12,0,12
1500000US370919502001,370919502001,"Block Group 1, Census Tract 9502, Hertford County, North Carolina",502,110,13,17,9,13,58,59,39,31,36,33,57,56,19,21,20,21,33,47,85,63,84,56,31,27,6,7,0,12,12,14,0,12
1500000US370919502002,370919502002,"Block Group 2, Census Tract 9502, Hertford County, North Carolina",568,104,113,56,33,20,47,30,66,43,10,10,36,33,18,15,79,44,0,12,32,24,64,44,39,41,23,15,5,5,2,3,1,2
