GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0100000US,,United States,321004407,*****,234370202,57873,40610815,29048,2632102,14293,17186320,20171,570116,4939,15553808,89916,10081044,89163,1551142,25941,8529902,67059
1500000US370919501001,370919501001,"Block Group 1, Census Tract 9501, Hertford County, North Carolina",1344,319,751,291,508,237,23,27,0,12,31,40,0,12,31,38,0,12,31,38
1500000US370919501002,370919501002,"Block Group 2, Census Tract 9501, Hertford County, North Carolina",574,272,133,69,441,272,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370919501003,370919501003,"Block Group 3, Census Tract 9501, Hertford County, North Carolina",2185,205,1036,160,1081,246,0,12,5,9,0,12,0,12,63,46,0,12,63,46
1500000US370919501004,370919501004,"Block Group 4, Census Tract 9501, Hertford County, North Carolina",618,162,262,127,356,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370919501005,370919501005,"Block Group 5, Census Tract 9501, Hertford County, North Carolina",967,399,206,99,506,387,0,12,58,50,0,12,0,12,197,234,0,12,197,234
1500000US370919501006,370919501006,"Block Group 6, Census Tract 9501, Hertford County, North Carolina",1034,268,106,64,923,266,0,12,0,12,0,12,0,12,5,11,0,12,5,11
1500000US370919502001,370919502001,"Block Group 1, Census Tract 9502, Hertford County, North Carolina",1150,292,332,111,801,286,0,12,0,12,0,12,0,12,17,17,0,12,17,17
1500000US370919502002,370919502002,"Block Group 2, Census Tract 9502, Hertford County, North Carolina",1308,264,342,103,812,226,76,44,0,12,0,12,17,17,61,51,0,12,61,51
1500000US370919502003,370919502003,"Block Group 3, Census Tract 9502, Hertford County, North Carolina",2871,570,717,180,1988,473,27,19,51,49,0,12,5,7,83,46,0,12,83,46
1500000US370919502004,370919502004,"Block Group 4, Census Tract 9502, Hertford County, North Carolina",1013,221,215,103,718,196,36,20,10,13,0,12,14,23,20,14,0,12,20,14
1500000US370919503001,370919503001,"Block Group 1, Census Tract 9503, Hertford County, North Carolina",2208,568,777,253,1094,363,7,11,0,12,0,12,87,81,243,355,0,12,243,355
1500000US370919503002,370919503002,"Block Group 2, Census Tract 9503, Hertford County, North Carolina",1474,346,1137,293,317,199,0,12,0,12,0,12,20,31,0,12,0,12,0,12
1500000US370919504011,370919504011,"Block Group 1, Census Tract 9504.01, Hertford County, North Carolina",872,153,420,95,391,136,34,30,16,12,1,3,0,12,10,9,0,12,10,9
1500000US370919504012,370919504012,"Block Group 2, Census Tract 9504.01, Hertford County, North Carolina",806,150,388,87,371,111,7,8,6,8,0,12,12,20,22,22,0,12,22,22
1500000US370919504013,370919504013,"Block Group 3, Census Tract 9504.01, Hertford County, North Carolina",1754,356,613,130,1090,315,5,6,0,12,0,12,10,15,36,24,0,12,36,24
1500000US370919504021,370919504021,"Block Group 1, Census Tract 9504.02, Hertford County, North Carolina",754,115,299,79,427,89,12,10,0,12,2,2,0,12,14,9,0,12,14,9
1500000US370919504022,370919504022,"Block Group 2, Census Tract 9504.02, Hertford County, North Carolina",735,137,89,56,610,118,27,14,5,7,0,12,0,12,4,5,4,5,0,12
1500000US370919504023,370919504023,"Block Group 3, Census Tract 9504.02, Hertford County, North Carolina",506,104,188,77,286,75,8,6,14,16,0,12,6,10,4,4,0,12,4,4
1500000US370919504024,370919504024,"Block Group 4, Census Tract 9504.02, Hertford County, North Carolina",2089,253,614,101,1347,244,17,8,3,4,0,12,85,69,23,15,6,9,17,11
