,Match_addr,County,Postal,PostalExt,Country,X,Y,>1,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,Minority Population,Low Income Population,Linguistically Isolated Population,Population with Less Than High School Education,Population under Age 5,Population over Age 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1028 Gilmer Ricks Rd, Conway, North Carolina, 27820",Northampton County,27820,9586,USA,-77.19580214,36.43111062,,164,7.53,39.1,0.163,28,0.37,13,0.48,0.013,1.3,0.58,6.30E-05,24%,21%,27%,0%,14%,7%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1847 US-158, Jackson, North Carolina, 27845",Northampton County,27845,9543,USA,-77.51005097,36.41662504,,48,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,89%,95%,83%,0%,30%,10%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"541 Old Gaston Rd, Gaston, North Carolina, 27832",Northampton County,27832,9042,USA,-77.77480081,36.50692387,,77,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,46%,50%,42%,0%,30%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"3118 Ashleys Grove Rd, Conway, North Carolina, 27820",Northampton County,27820,9338,USA,-77.16847479,36.4260055,,166,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,0.0000092,0.36,0.39,0.33,0,0.26,0.09,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"289 Hickory Hollow Rd, Gaston, North Carolina, 27832",Northampton County,27832,9189,USA,-77.73935131,36.49714626,,206,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,0.46,0.5,0.42,0,0.3,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"802 Collier Rd, Woodland, North Carolina, 27897",Northampton County,27897,9569,USA,-77.2767158,36.35140027,,44,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,0.45,0.51,0.39,0,0.15,0.05,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"600 Ashleys Grove Rd, Conway, North Carolina, 27820",Northampton County,27820,9557,USA,-77.2184655,36.375165,,74,7.53,39.1,0.163,28,0.37,8.9,0.48,0.013,0.9,0.43,0.000043,0.28,0.28,0.29,0,0.18,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"187 Turkey Branch Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9376,USA,-77.13342551,36.46528905,,54,7.48,39.1,0.158,28,0.37,1.9,0.37,0.014,0.17,0.15,0.0000075,0.48,0.51,0.45,0.01,0.27,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"198 Riverside Dr, Henrico, North Carolina, 27842",Northampton County,27842,9210,USA,-77.87645595,36.51913945,,281,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,0.28,0.23,0.33,0,0.11,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"7368 NC-46, Garysburg, North Carolina, 27831",Northampton County,27831,9422,USA,-77.59891574,36.46001227,,103,7.75,39.4,0.183,30,0.4,100,0.2,0.011,0.22,0.19,0.018,74%,96%,50%,0%,25%,3%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1214 Bryantown Rd, Rich Square, North Carolina, 27869",Northampton County,27869,NA,USA,-77.32393606,36.28091568,,166,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,53%,53%,53%,0%,10%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"702 Bethel Church Rd, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9651,USA,-77.48684033,36.48938817,,166,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,0.53,0.53,0.53,0,0.1,0.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"599 WJ Duke Service Rd, Jackson, North Carolina, 27845",Northampton County,27845,NA,USA,-77.36626881,36.35716161,,28,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"557 N Shore Dr, Gaston, North Carolina, 27832",Northampton County,27832,9691,USA,-77.69665419,36.48978108,,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,35%,37%,32%,0%,20%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"x=-77.526100, y=36.545800",Northampton County,NA,NA,,-77.5261,36.5458,,37,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,45%,56%,34%,0%,13%,0%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
